ts_ms,cache,ttfb_ms,bytes,model,hash
1756339705158,api,101,0,eleven_turbo_v2,1c0fcecd934db8091cf95ff5a6f4738f5f6c1499
1756339705271,api,113,0,eleven_turbo_v2,3178055de674d1b0e52957cf28797f03c7b848d5
1756339705340,api,68,0,eleven_turbo_v2,ceacac2842f71b5e74baf344ac656a9b23433121
1756339705439,api,98,0,eleven_turbo_v2,1c1e50a1ed8e25ea84ebe53600ecb15dbba92ea0
1756339705491,api,52,0,eleven_turbo_v2,136028a27a0900e63fa08b40c4549b25b8995dd3
1756339705558,api,66,0,eleven_turbo_v2,d61d7ca5ea2aade0f8b0f7ddc7ca8e6c7336f2a6
1756339705636,api,77,0,eleven_turbo_v2,0b5aac5aca9f6c52c3b79ac4efc7e6222ac480b3
1756339705690,api,53,0,eleven_turbo_v2,9fd8b571179d3ef3a5f808d4af4f1bd9726f20cb
1756339705775,api,84,0,eleven_turbo_v2,db22c406853699cd01e89f06102526f5a7412d2b
1756339705824,api,49,0,eleven_turbo_v2,2cd6871d3b9cfadce65ebc460034e1f08825b51a
1756339705941,api,115,0,eleven_turbo_v2,0d1950ec195f0de58589c09950b9de6e4ee47857
1756339706074,api,132,0,eleven_turbo_v2,3af6e477e0680fb3aedc9fa6cbbe3e4cdbfdd312
1756339706174,api,99,0,eleven_turbo_v2,cf5ff2c242031b6e986ff0925b38ecee4d2db9e3
1756339706263,api,89,0,eleven_turbo_v2,11c8ef0f5a81f3888c278312afbd236d9a630b08
1756339706324,api,60,0,eleven_turbo_v2,7248fae6f1a32227271cb5058eadc7cda23f9c8c
1756339814830,api,187,0,eleven_turbo_v2,b2a55398ef776cf5cbad0baa8746fa732f12df28
1756339814924,api,93,0,eleven_turbo_v2,e8fe741a21168e21d95b496fb8e796491e124fac
1756339815034,api,109,0,eleven_turbo_v2,6bd7ec70bfde9f0c18b771da55e452d97282f310
1756339815127,api,93,0,eleven_turbo_v2,e3059d46d44ad360b962a424c34bac21aec7d125
1756339815179,api,52,0,eleven_turbo_v2,d68649b9898d6b6a9574aa350e93a0a282886c55
1756339815247,api,67,0,eleven_turbo_v2,62ac6d144ccfea5b28022aab8785a528f240fb36
1756339815313,api,66,0,eleven_turbo_v2,0de980ad81eb40889edd424c2a9b025460d52f5c
1756339815397,api,81,0,eleven_turbo_v2,04a8d1fcec2710a38d9c8802d30577897b13000b
1756339815472,api,74,0,eleven_turbo_v2,667004c5c5857061173da49f6c9de06645e4dcb3
1756339815543,api,67,0,eleven_turbo_v2,e7ab13d288f46b721ab487226f114f2317633215
